Slice	Count	Total Area	Average Size	%Area
ste30 d5-3.jpg	81	160565	1982.2840	13.0668
ste130 d6-1.jpg	68	160860	2365.5882	13.0908
ste30 d4-3.jpg	97	120147	1238.6289	9.7776
ste72 d6-1.jpg	44	102126	2321.0455	8.3110
ste72 d5-2.jpg	72	99640	1383.8889	8.1087
ste72 d5-4.jpg	50	64851	1297.0200	5.2776
ste130 d5-3.jpg	92	141103	1533.7283	11.4830
ste72 d6-4.jpg	48	105421	2196.2708	8.5792
ste76 d4-2.jpg	58	45010	776.0345	3.6629
ste30 d6-2.jpg	57	183212	3214.2456	14.9098
ste76 d8-2.jpg	44	197727	4493.7955	16.0911
ste72 d6-2.jpg	56	154450	2758.0357	12.5692
ste76 d6-4.jpg	76	144406	1900.0789	11.7518
ste129 d8-1.jpg	61	168976	2770.0984	13.7513
ste30 d1-4.jpg	53	26200	494.3396	2.1322
ste130 d8-3.jpg	34	158426	4659.5882	12.8927
ste130 d4-2.jpg	104	118474	1139.1731	9.6414
ste76 d4-3.jpg	80	82138	1026.7250	6.6844
ste72 d4-4.jpg	53	52527	991.0755	4.2747
ste30 d8-1.jpg	30	186193	6206.4333	15.1524
ste72 d1-3.jpg	59	23968	406.2373	1.9505
ste30 d1-2.jpg	75	30484	406.4533	2.4808
ste76 d4-1.jpg	61	46613	764.1475	3.7934
ste76 d8-3.jpg	46	147750	3211.9565	12.0239
ste130 d6-2.jpg	74	192834	2605.8649	15.6929
ste129 d8-4.jpg	49	167037	3408.9184	13.5935
ste130 d4-3.jpg	93	80169	862.0323	6.5242
ste76 d6-3.jpg	61	131533	2156.2787	10.7042
ste72 d1-1.jpg	77	21848	283.7403	1.7780
ste129 d5-4.jpg	80	135587	1694.8375	11.0341
ste72 d8-2.jpg	37	262157	7085.3243	21.3344
ste76 d6-2.jpg	55	114290	2078.0000	9.3009
ste129 d4-1.jpg	97	79901	823.7216	6.5024
ste76 d8-1.jpg	51	144761	2838.4510	11.7807
ste129 d6-4.jpg	73	154483	2116.2055	12.5719
ste30 d8-4.jpg	19	44642	2349.5789	3.6330
ste30 d5-1.jpg	93	174861	1880.2258	14.2302
ste72 d4-2.jpg	61	55246	905.6721	4.4959
ste130 d6-3.jpg	55	155612	2829.3091	12.6637
ste129 d5-2.jpg	107	122243	1142.4579	9.9482
ste130 d4-1.jpg	127	129639	1020.7795	10.5500
ste129 d6-3.jpg	75	151976	2026.3467	12.3678
ste130 d1-1.jpg	33	16605	503.1818	1.3513
ste30 d1-3.jpg	86	36951	429.6628	3.0071
ste72 d5-3.jpg	49	77812	1588.0000	6.3324
ste30 d8-2.jpg	34	157408	4629.6471	12.8099
ste30 d4-2.jpg	79	102620	1298.9873	8.3512
ste76 d8-4.jpg	44	193659	4401.3409	15.7600
